预测标签,威胁类型,置信度
1,DoS攻击,0.9999999
1,DoS攻击,0.9999968
0,正常,0.99882704
4,探测攻击,0.99998796
4,探测攻击,0.9342076
0,正常,0.9999994
0,正常,0.9994085
3,R2L攻击,0.99683726
0,正常,0.9999999
3,R2L攻击,0.9501404
0,正常,0.5511138
0,正常,0.9984956
1,DoS攻击,0.999995
1,DoS攻击,0.9999902
0,正常,0.99991
0,正常,1.0
0,正常,0.9985922
0,正常,1.0
1,DoS攻击,0.602597
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.99570906
0,正常,0.9945688
0,正常,1.0
1,DoS攻击,0.9999989
1,DoS攻击,1.0
0,正常,0.99999917
0,正常,0.9637898
1,DoS攻击,0.9999683
0,正常,0.998064
1,DoS攻击,0.9387816
0,正常,0.99978215
0,正常,1.0
0,正常,0.97183967
4,探测攻击,1.0
4,探测攻击,0.9999062
0,正常,0.9824401
3,R2L攻击,0.52401114
0,正常,0.9999809
0,正常,0.9990108
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
0,正常,0.9998902
1,DoS攻击,0.9999999
0,正常,0.9985864
1,DoS攻击,0.99999976
1,DoS攻击,0.9261265
4,探测攻击,0.7995737
0,正常,0.9913623
0,正常,0.999998
0,正常,0.99887246
1,DoS攻击,0.9999999
1,DoS攻击,0.99999845
3,R2L攻击,0.99312395
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.8092799
1,DoS攻击,0.99385804
0,正常,0.96968013
0,正常,0.77282035
3,R2L攻击,0.92685616
0,正常,0.99183816
0,正常,0.9991035
4,探测攻击,1.0
0,正常,0.9993979
4,探测攻击,0.999703
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
0,正常,0.99641526
1,DoS攻击,0.9999999
0,正常,0.9999387
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.91725993
0,正常,1.0
0,正常,0.9996424
1,DoS攻击,1.0
